telescope,event,ranking,eff_fov_deg2,tiles_50pct,tiles_90pct,n_support_tiles,truncated
T80S,GW190814,2D,2.024,5,22,47,False
T80S,GW190814,4D,2.024,4,21,47,False
T80S,S240413p,2D,2.024,20,-1,25,False
T80S,S240413p,4D,2.024,9,-1,25,False
T80S,S231206cc,2D,2.024,95,-1,301,False
T80S,S231206cc,4D,2.024,59,-1,301,False
T80S,GW190425,2D,2.024,3044,-1,5161,False
T80S,GW190425,4D,2.024,2613,-1,5161,False
ROMAN,GW190814,2D,0.281,24,121,291,False
ROMAN,GW190814,4D,0.281,10,108,291,False
ROMAN,S240413p,2D,0.281,39,122,244,False
ROMAN,S240413p,4D,0.281,9,81,244,False
ROMAN,S231206cc,2D,0.281,364,1422,3002,False
ROMAN,S231206cc,4D,0.281,128,1265,3002,False
ROMAN,GW190425,2D,0.281,8672,31838,54785,False
ROMAN,GW190425,4D,0.281,4284,27983,54785,False
LSST,GW190814,2D,9.6,2,6,10,False
LSST,GW190814,4D,9.6,2,6,10,False
LSST,S240413p,2D,9.6,3,7,8,False
LSST,S240413p,4D,9.6,3,6,8,False
LSST,S231206cc,2D,9.6,15,57,101,False
LSST,S231206cc,4D,9.6,11,53,101,False
LSST,GW190425,2D,9.6,306,1110,1816,False
LSST,GW190425,4D,9.6,252,1068,1816,False
