event,distance_Mpc,telescope,fov_deg2,level,net_C,tiles_2D,tiles_4D,tiles_saved,visit_min,minutes_saved
GW190425,40.0,T80S,2.024,0.5,0.4135,2099,827,1272,5.0,6360.0
GW190425,40.0,T80S,2.024,0.9,0.4135,7564,6055,1509,5.0,7545.0
GW190425,40.0,ROMAN,0.281,0.5,0.4135,10382,2798,7584,5.0,37920.0
GW190425,40.0,ROMAN,0.281,0.9,0.4135,-1,-1,,5.0,
GW190425,40.0,LSST,9.6,0.5,0.4135,551,271,280,0.6,168.0
GW190425,40.0,LSST,9.6,0.9,0.4135,2064,1513,551,0.6,330.6
GW190425,100.0,T80S,2.024,0.5,0.4202,2099,996,1103,5.0,5515.0
GW190425,100.0,T80S,2.024,0.9,0.4202,7564,5832,1732,5.0,8660.0
GW190425,100.0,ROMAN,0.281,0.5,0.4202,10382,3664,6718,5.0,33590.0
GW190425,100.0,ROMAN,0.281,0.9,0.4202,-1,-1,,5.0,
GW190425,100.0,LSST,9.6,0.5,0.4202,551,301,250,0.6,150.0
GW190425,100.0,LSST,9.6,0.9,0.4202,2064,1479,585,0.6,351.0
GW190425,203.0,T80S,2.024,0.5,0.3267,2099,1285,814,5.0,4070.0
GW190425,203.0,T80S,2.024,0.9,0.3267,7564,5885,1679,5.0,8395.0
GW190425,203.0,ROMAN,0.281,0.5,0.3267,10382,6031,4351,5.0,21755.0
GW190425,203.0,ROMAN,0.281,0.9,0.3267,-1,-1,,5.0,
GW190425,203.0,LSST,9.6,0.5,0.3267,551,347,204,0.6,122.4
GW190425,203.0,LSST,9.6,0.9,0.3267,2064,1577,487,0.6,292.2
GW190425,300.0,T80S,2.024,0.5,0.4143,2099,1112,987,5.0,4935.0
GW190425,300.0,T80S,2.024,0.9,0.4143,7564,5757,1807,5.0,9035.0
GW190425,300.0,ROMAN,0.281,0.5,0.4143,10382,5117,5265,5.0,26325.0
GW190425,300.0,ROMAN,0.281,0.9,0.4143,-1,-1,,5.0,
GW190425,300.0,LSST,9.6,0.5,0.4143,551,318,233,0.6,139.8
GW190425,300.0,LSST,9.6,0.9,0.4143,2064,1612,452,0.6,271.2
GW190425,1000.0,T80S,2.024,0.5,0.0185,2099,1728,371,5.0,1855.0
GW190425,1000.0,T80S,2.024,0.9,0.0185,7564,7016,548,5.0,2740.0
GW190425,1000.0,ROMAN,0.281,0.5,0.0185,10382,9739,643,5.0,3215.0
GW190425,1000.0,ROMAN,0.281,0.9,0.0185,-1,-1,,5.0,
GW190425,1000.0,LSST,9.6,0.5,0.0185,551,398,153,0.6,91.8
GW190425,1000.0,LSST,9.6,0.9,0.0185,2064,1775,289,0.6,173.4
S231206cc,40.0,T80S,2.024,0.5,0.2678,81,52,29,5.0,145.0
S231206cc,40.0,T80S,2.024,0.9,0.2678,357,296,61,5.0,305.0
S231206cc,40.0,ROMAN,0.281,0.5,0.2678,498,266,232,5.0,1160.0
S231206cc,40.0,ROMAN,0.281,0.9,0.2678,1918,1743,175,5.0,875.0
S231206cc,40.0,LSST,9.6,0.5,0.2678,16,14,2,0.6,1.2
S231206cc,40.0,LSST,9.6,0.9,0.2678,89,69,20,0.6,12.0
S231206cc,100.0,T80S,2.024,0.5,0.5347,81,32,49,5.0,245.0
S231206cc,100.0,T80S,2.024,0.9,0.5347,357,245,112,5.0,560.0
S231206cc,100.0,ROMAN,0.281,0.5,0.5347,498,92,406,5.0,2030.0
S231206cc,100.0,ROMAN,0.281,0.9,0.5347,1918,1507,411,5.0,2055.0
S231206cc,100.0,LSST,9.6,0.5,0.5347,16,11,5,0.6,3.0
S231206cc,100.0,LSST,9.6,0.9,0.5347,89,65,24,0.6,14.4
S231206cc,203.0,T80S,2.024,0.5,0.3265,81,51,30,5.0,150.0
S231206cc,203.0,T80S,2.024,0.9,0.3265,357,256,101,5.0,505.0
S231206cc,203.0,ROMAN,0.281,0.5,0.3265,498,275,223,5.0,1115.0
S231206cc,203.0,ROMAN,0.281,0.9,0.3265,1918,1598,320,5.0,1600.0
S231206cc,203.0,LSST,9.6,0.5,0.3265,16,14,2,0.6,1.2
S231206cc,203.0,LSST,9.6,0.9,0.3265,89,66,23,0.6,13.8
S231206cc,300.0,T80S,2.024,0.5,0.3615,81,46,35,5.0,175.0
S231206cc,300.0,T80S,2.024,0.9,0.3615,357,234,123,5.0,615.0
S231206cc,300.0,ROMAN,0.281,0.5,0.3615,498,263,235,5.0,1175.0
S231206cc,300.0,ROMAN,0.281,0.9,0.3615,1918,1512,406,5.0,2030.0
S231206cc,300.0,LSST,9.6,0.5,0.3615,16,14,2,0.6,1.2
S231206cc,300.0,LSST,9.6,0.9,0.3615,89,61,28,0.6,16.8
S231206cc,1000.0,T80S,2.024,0.5,0.0099,81,71,10,5.0,50.0
S231206cc,1000.0,T80S,2.024,0.9,0.0099,357,326,31,5.0,155.0
S231206cc,1000.0,ROMAN,0.281,0.5,0.0099,498,474,24,5.0,120.0
S231206cc,1000.0,ROMAN,0.281,0.9,0.0099,1918,1854,64,5.0,320.0
S231206cc,1000.0,LSST,9.6,0.5,0.0099,16,16,0,0.6,0.0
S231206cc,1000.0,LSST,9.6,0.9,0.0099,89,78,11,0.6,6.6
